sector_name_eea:text,pollutant_name:text,unit:text,emissions:number
Energy production and distribution,CO,Gg (1000 tonnes),765.425933598
Non-road transport,CO,Gg (1000 tonnes),424.330609049
Waste,CO,Gg (1000 tonnes),250.538752225
Other,CO,Gg (1000 tonnes),4.3091506
Energy use in industry,CO,Gg (1000 tonnes),2779.57130661
Agriculture,CO,Gg (1000 tonnes),122.648911018
Road transport,CO,Gg (1000 tonnes),4103.05571061
Industrial processes and product use,CO,Gg (1000 tonnes),2528.58522287
"Commercial, institutional and households",CO,Gg (1000 tonnes),11180.4598684
Road transport,NH3,Gg (1000 tonnes),55.5206284674
Industrial processes and product use,NH3,Gg (1000 tonnes),106.562495227
Agriculture,NH3,Gg (1000 tonnes),4411.3273814
Energy production and distribution,NH3,Gg (1000 tonnes),14.116574098
Other,NH3,Gg (1000 tonnes),23.9535455068
Waste,NH3,Gg (1000 tonnes),73.1647595056
Energy use in industry,NH3,Gg (1000 tonnes),19.0525119067
"Commercial, institutional and households",NH3,Gg (1000 tonnes),83.5318497858
Non-road transport,NH3,Gg (1000 tonnes),0.257520851147
"Commercial, institutional and households",NMVOC,Gg (1000 tonnes),1313.33777298
Waste,NMVOC,Gg (1000 tonnes),114.805515922
Road transport,NMVOC,Gg (1000 tonnes),633.174113583
Non-road transport,NMVOC,Gg (1000 tonnes),78.6650624841
Agriculture,NMVOC,Gg (1000 tonnes),1594.87576053
Industrial processes and product use,NMVOC,Gg (1000 tonnes),3618.08586279
Other,NMVOC,Gg (1000 tonnes),2.19724134039
Energy production and distribution,NMVOC,Gg (1000 tonnes),582.996810095
Energy use in industry,NMVOC,Gg (1000 tonnes),213.038089321
Road transport,NOx,Gg (1000 tonnes),3032.73011089
Other,NOx,Gg (1000 tonnes),2.36333340876
Energy production and distribution,NOx,Gg (1000 tonnes),1570.57602882
Non-road transport,NOx,Gg (1000 tonnes),725.508827298
"Commercial, institutional and households",NOx,Gg (1000 tonnes),1167.65508117
Energy use in industry,NOx,Gg (1000 tonnes),1000.09965038
Industrial processes and product use,NOx,Gg (1000 tonnes),209.060201035
Agriculture,NOx,Gg (1000 tonnes),585.742243167
Waste,NOx,Gg (1000 tonnes),19.8847329588
Energy use in industry,PM10,Gg (1000 tonnes),179.247589876
Road transport,PM10,Gg (1000 tonnes),227.154251289
Industrial processes and product use,PM10,Gg (1000 tonnes),950.772590106
Energy production and distribution,PM10,Gg (1000 tonnes),113.163191053
Other,PM10,Gg (1000 tonnes),0.800268679835
Agriculture,PM10,Gg (1000 tonnes),312.404639853
Non-road transport,PM10,Gg (1000 tonnes),45.2312183916
Waste,PM10,Gg (1000 tonnes),55.2519690026
"Commercial, institutional and households",PM10,Gg (1000 tonnes),953.802789724
Road transport,PM2.5,Gg (1000 tonnes),144.841057616
Agriculture,PM2.5,Gg (1000 tonnes),44.864015869
Industrial processes and product use,PM2.5,Gg (1000 tonnes),162.567774726
Energy production and distribution,PM2.5,Gg (1000 tonnes),52.560479129
Energy use in industry,PM2.5,Gg (1000 tonnes),110.586728122
Waste,PM2.5,Gg (1000 tonnes),51.4823714934
Other,PM2.5,Gg (1000 tonnes),0.489771921742
"Commercial, institutional and households",PM2.5,Gg (1000 tonnes),752.96170562
Non-road transport,PM2.5,Gg (1000 tonnes),36.5470402738
Energy production and distribution,SOx,Gg (1000 tonnes),2671.72634464
Energy use in industry,SOx,Gg (1000 tonnes),952.324573303
Industrial processes and product use,SOx,Gg (1000 tonnes),260.358234254
Agriculture,SOx,Gg (1000 tonnes),0.632449849294
Waste,SOx,Gg (1000 tonnes),2.6468554994
Non-road transport,SOx,Gg (1000 tonnes),72.7332573179
"Commercial, institutional and households",SOx,Gg (1000 tonnes),670.679623002
Road transport,SOx,Gg (1000 tonnes),5.81175924406
Other,SOx,Gg (1000 tonnes),0.0111266
